Event Name,Club/Chapter,Venue,Number of Participants,Date,Slot
Chem-o-Poly,IIChE VIT,CLASSROOM,3-5 members,2024-09-27,04:30 PM - 05:30 PM
Texpedition 2.O,Digit Squad,SMARTCLASSROOM,4-6 members,2024-09-27,04:30 PM - 09:30 PM
Texpedition 2.O,Digit Squad,SMARTCLASSROOM,4-6 members,2024-09-27,04:30 PM - 09:30 PM
The Power Business 5.0,Thr Society of Petroleum Engineers,CLASSROOM,3-5 members,2024-09-21,02:30 PM - 11:30 PM
GENESIS-BGMIxKG,TAG,CLASSROOM,4,2024-09-29,05:30 PM - 09:30 PM
Code to Survive,Mozilla Firefox Club,AMBEDKAR,3-5 members,2024-09-21,01:30 PM - 09:30 PM
On The Rocks,AIChE-VIT,CHEMISTRY LAB,4-5,2024-09-20,03:30 PM - 09:30 PM
Solaris,Indian Society for Technical Education (ISTE),CLASSROOM,4,2024-09-21,01:30 PM - 01:30 PM
Standards CAM Hack using Fusion,Standards Club,CLASSROOM,3 members,2024-09-29,01:30 PM - 01:30 AM
The Event That Must Not Be Named,Indian Institute of Chemical Engineers ( IIChE chapter),CLASSROOM AND CHEMISTRY LAB,3-5 members,2024-09-27,04:30 PM - 04:30 PM
Drone Arena,BIF VIT,GREENOS,Solo,2024-09-20,03:30 PM - 11:30 PM
Unlocking the Brain: The Future of Mental Health Through Neuroscience and AI,Smile Over Stress VIT,CLASSROOM,any,2024-09-22,01:30 PM - 05:30 PM
Unlocking the Brain: The Future of Mental Health Through Neuroscience and AI,Smile Over Stress VIT,CLASSROOM,any,2024-09-22,01:30 PM - 05:30 PM
Genius Jamboree,ASME-VIT,SMARTCLASSROOM,4 members,2024-09-27,05:30 PM - 01:30 AM
GenHack24',International Society of Automation (ISA),AUDITOIRUM,1-4 members,2024-09-27,05:30 PM - 01:30 AM
Data Alchemy 2.0,TAM (The AI & ML Club),GALLERY,Solo,2024-09-22,01:30 PM - 09:30 PM
Aerocrafters,SAE-VIT,CLASSROOM AND KC LAWN,5 members,2024-09-20,03:30 PM - 09:30 PM
SYNAPTECH,IETE-ISF,SMARTCLASSROOM,solo,2024-09-22,02:30 PM - 08:30 PM
Cicada 3310,IEEE Computer Society,VOC,3-5 members,2024-09-22,05:30 PM - 01:30 AM
Tech tussle,Visual bloggers club,SMARTCLASSROOM,5 members per group,2024-09-21,01:30 PM - 09:30 PM
